type,x,f1,f2
final,4.999910,0.999910,0.000000
final,1.000156,-0.999844,15.998750
final,1.999794,-0.000206,9.001239
final,4.000131,0.000131,0.999738
final,1.627136,-0.372864,11.376210
final,1.207765,-0.792235,14.381047
final,4.416058,0.416058,0.340988
final,1.485211,-0.514789,12.353741
final,1.179341,-0.820659,14.597438
final,4.242290,0.242290,0.574124
final,4.135366,0.135366,0.747591
final,1.771324,-0.228676,10.424352
final,1.790599,-0.209401,10.300257
final,1.646053,-0.353947,11.248958
final,4.605992,0.605992,0.155242
final,1.066516,-0.933484,15.472294
final,4.460373,0.460373,0.291198
final,4.279302,0.279302,0.519405
final,1.134102,-0.865898,14.945169
final,4.552904,0.552904,0.199895
final,4.811382,0.811382,0.035577
final,1.713883,-0.286117,10.798567
final,1.812004,-0.187996,10.163318
final,1.039316,-0.960684,15.687015
final,4.836411,0.836411,0.026761
final,1.156967,-0.843033,14.768899
final,4.215601,0.215601,0.615281
final,4.169452,0.169452,0.689810
final,4.874143,0.874143,0.015840
final,4.702431,0.702431,0.088547
final,1.734332,-0.265668,10.664586
final,4.772273,0.772273,0.051860
final,1.372540,-0.627460,13.158469
final,1.574035,-0.425965,11.737239
final,1.950600,-0.049400,9.298839
final,1.103141,-0.896859,15.185509
final,4.479058,0.479058,0.271381
final,4.326687,0.326687,0.453351
final,1.282083,-0.717917,13.822910
final,4.301287,0.301287,0.488200
final,4.742515,0.742515,0.066299
final,4.188074,0.188074,0.659224
final,4.096118,0.096118,0.817003
final,1.682047,-0.317953,11.008812
final,1.547533,-0.452467,11.919531
final,4.639503,0.639503,0.129958
final,1.087067,-0.912933,15.311041
final,1.456615,-0.543385,12.555577
final,1.386386,-0.613614,13.058203
final,1.574035,-0.425965,11.737239
final,4.939167,0.939167,0.003701
final,1.530861,-0.469139,12.034922
final,4.349114,0.349114,0.423653
final,1.355533,-0.644467,13.282141
final,4.107780,0.107780,0.796056
final,4.897294,0.897294,0.010549
final,1.229487,-0.770513,14.216766
final,1.881297,-0.118703,9.726306
final,1.300528,-0.699472,13.686096
final,1.501489,-0.498511,12.239581
final,1.437187,-0.562813,12.693637
final,1.249758,-0.750242,14.064318
final,4.969907,0.969907,0.000906
final,1.167303,-0.832697,14.689563
final,1.018982,-0.981018,15.848505
final,4.920195,0.920195,0.006369
final,1.749306,-0.250694,10.567009
final,1.841698,-0.158302,9.974873
final,4.063034,0.063034,0.877906
final,1.255074,-0.744926,14.024473
final,1.964886,-0.035114,9.211918
final,1.075486,-0.924514,15.401813
final,4.369012,0.369012,0.398145
final,1.033105,-0.966895,15.736254
final,1.932186,-0.067814,9.411482
final,1.520795,-0.479205,12.104870
final,1.231795,-0.768205,14.199368
final,4.509978,0.509978,0.240121
final,4.028346,0.028346,0.944111
final,4.668514,0.668514,0.109883
final,1.409677,-0.590323,12.890416
final,1.827821,-0.172179,10.062718
final,4.618204,0.618204,0.145768
final,1.509627,-0.490373,12.182705
final,1.445113,-0.554887,12.637225
final,4.014125,0.014125,0.971949
final,1.910842,-0.089158,9.542897
final,4.384253,0.384253,0.379145
final,1.666399,-0.333601,11.112893
final,1.666399,-0.333601,11.112893
final,1.121855,-0.878145,15.040011
final,4.538920,0.538920,0.212595
final,1.271521,-0.728479,13.901553
final,1.697431,-0.302569,10.906963
final,4.754385,0.754385,0.060327
final,1.856171,-0.143829,9.883658
final,1.984218,-0.015782,9.094944
final,1.927780,-0.072220,9.438537
final,1.560297,-0.439703,11.831555
final,1.011500,-0.988500,15.908132
archive,1.500443,-0.499557,12.246903
archive,4.854122,0.854122,0.021281
archive,4.252144,0.252144,0.559289
archive,0.956603,-0.956603,16.349062
archive,4.643086,0.643086,0.127388
archive,1.473434,-0.526566,12.436670
archive,4.170202,0.170202,0.688565
archive,1.542558,-0.457442,11.953905
archive,1.781518,-0.218482,10.358626
archive,1.961425,-0.038575,9.232940
archive,4.465011,0.465011,0.286214
archive,4.562517,0.562517,0.191391
archive,2.085940,0.085940,8.491745
archive,1.743065,-0.256935,10.607628
archive,1.743065,-0.256935,10.607628
archive,2.038102,0.038102,8.772838
archive,2.038102,0.038102,8.772838
archive,5.017777,1.017777,0.000316
archive,5.017777,1.017777,0.000316
archive,1.980422,-0.019578,9.117849
archive,1.980422,-0.019578,9.117849
archive,2.021165,0.021165,8.873460
archive,2.021165,0.021165,8.873460
archive,4.546037,0.546037,0.206082
archive,4.546037,0.546037,0.206082
archive,4.625004,0.625004,0.140622
archive,4.625004,0.625004,0.140622
archive,1.110416,-0.889584,15.128864
archive,1.465722,-0.534278,12.491124
archive,2.067619,0.067619,8.598860
archive,1.500443,-0.499557,12.246903
archive,4.854122,0.854122,0.021281
archive,4.252144,0.252144,0.559289
archive,0.956603,-0.956603,16.349062
archive,4.643086,0.643086,0.127388
archive,1.473434,-0.526566,12.436670
archive,4.170202,0.170202,0.688565
archive,1.542558,-0.457442,11.953905
archive,1.781518,-0.218482,10.358626
archive,1.961425,-0.038575,9.232940
archive,4.465011,0.465011,0.286214
archive,4.562517,0.562517,0.191391
archive,2.085940,0.085940,8.491745
archive,1.743065,-0.256935,10.607628
archive,1.743065,-0.256935,10.607628
archive,2.038102,0.038102,8.772838
archive,2.038102,0.038102,8.772838
archive,5.017777,1.017777,0.000316
archive,5.017777,1.017777,0.000316
archive,1.980422,-0.019578,9.117849
archive,1.980422,-0.019578,9.117849
archive,2.021165,0.021165,8.873460
archive,2.021165,0.021165,8.873460
archive,4.546037,0.546037,0.206082
archive,4.546037,0.546037,0.206082
archive,4.625004,0.625004,0.140622
archive,4.625004,0.625004,0.140622
archive,1.110416,-0.889584,15.128864
archive,1.500443,-0.499557,12.246903
archive,4.854122,0.854122,0.021281
archive,4.252144,0.252144,0.559289
archive,0.956603,-0.956603,16.349062
archive,4.643086,0.643086,0.127388
archive,1.473434,-0.526566,12.436670
archive,4.170202,0.170202,0.688565
archive,1.542558,-0.457442,11.953905
archive,1.781518,-0.218482,10.358626
archive,1.961425,-0.038575,9.232940
archive,4.465011,0.465011,0.286214
archive,4.562517,0.562517,0.191391
archive,2.085940,0.085940,8.491745
archive,1.743065,-0.256935,10.607628
archive,1.743065,-0.256935,10.607628
archive,2.038102,0.038102,8.772838
archive,2.038102,0.038102,8.772838
archive,5.017777,1.017777,0.000316
archive,5.017777,1.017777,0.000316
archive,1.980422,-0.019578,9.117849
archive,1.980422,-0.019578,9.117849
archive,2.021165,0.021165,8.873460
archive,2.021165,0.021165,8.873460
archive,4.546037,0.546037,0.206082
archive,4.546037,0.546037,0.206082
archive,4.625004,0.625004,0.140622
archive,4.625004,0.625004,0.140622
archive,1.110416,-0.889584,15.128864
archive,0.956603,-0.956603,16.349062
archive,5.017777,1.017777,0.000316
archive,4.170202,0.170202,0.688565
archive,2.085940,0.085940,8.491745
archive,1.110416,-0.889584,15.128864
archive,1.473434,-0.526566,12.436670
archive,1.542558,-0.457442,11.953905
archive,4.854122,0.854122,0.021281
archive,1.781518,-0.218482,10.358626
archive,1.743065,-0.256935,10.607628
archive,1.961425,-0.038575,9.232940
archive,4.252144,0.252144,0.559289
archive,4.465011,0.465011,0.286214
archive,4.643086,0.643086,0.127388
archive,0.956603,-0.956603,16.349062
archive,5.017777,1.017777,0.000316
archive,5.017777,1.017777,0.000316
archive,2.095878,0.095878,8.433927
archive,4.158528,0.158528,0.708074
archive,1.458374,-0.541626,12.543115
archive,1.110416,-0.889584,15.128864
archive,1.110416,-0.889584,15.128864
archive,1.621754,-0.378246,11.412549
archive,1.090781,-0.909219,15.281993
archive,1.901341,-0.098659,9.601686
archive,1.781518,-0.218482,10.358626
archive,0.956603,-0.956603,16.349062
archive,1.743065,-0.256935,10.607628
archive,1.781518,-0.218482,10.358626
archive,1.542645,-0.457355,11.953301
archive,1.598178,-0.401822,11.572393
archive,1.743065,-0.256935,10.607628
archive,4.700079,0.700079,0.089952
archive,4.781907,0.781907,0.047565
archive,4.935949,0.935949,0.004102
archive,4.538605,0.538605,0.212886
archive,4.170202,0.170202,0.688565
archive,1.943928,-0.056072,9.339574
archive,4.471661,0.471661,0.279143
archive,4.935949,0.935949,0.004102
archive,4.252144,0.252144,0.559289
archive,4.854122,0.854122,0.021281
archive,5.017777,1.017777,0.000316
archive,4.252144,0.252144,0.559289
archive,4.317606,0.317606,0.465661
archive,4.446689,0.446689,0.306153
archive,1.901341,-0.098659,9.601686
archive,4.851533,0.851533,0.022042
archive,4.781907,0.781907,0.047565
archive,4.576976,0.576976,0.178949
archive,1.758266,-0.241734,10.508840
archive,4.655334,0.655334,0.118794
archive,4.399091,0.399091,0.361092
archive,4.625004,0.625004,0.140622
archive,4.700079,0.700079,0.089952
archive,4.317606,0.317606,0.465661
archive,4.358577,0.358577,0.411423
archive,0.956603,-0.956603,16.349062
archive,1.500443,-0.499557,12.246903
archive,1.598178,-0.401822,11.572393
archive,1.621754,-0.378246,11.412549
archive,1.542558,-0.457442,11.953905
archive,2.067619,0.067619,8.598860
archive,1.483507,-0.516493,12.365726
