type,f1,f2
final,0.833924,-0.524523
final,0.417568,0.262846
final,0.419473,0.234001
final,0.219042,0.552477
final,0.641177,-0.311056
final,0.448085,-0.004662
final,0.007267,1.080220
final,0.631494,-0.218497
final,0.001844,1.137510
final,0.849077,-0.658133
final,0.621931,-0.073925
final,0.409964,0.353384
final,0.836501,-0.575470
final,0.424176,0.193543
final,0.050325,0.887813
final,0.231366,0.464078
final,0.446212,0.013684
final,0.824387,-0.380261
final,0.851355,-0.676171
final,0.637106,-0.276501
final,0.842885,-0.634633
final,0.448085,-0.004662
final,0.415367,0.272137
final,0.219593,0.541826
final,0.634904,-0.256762
final,0.448085,-0.004662
final,0.409964,0.353384
final,0.631494,-0.218497
final,0.050325,0.887813
final,0.007267,1.080220
final,0.199805,0.676607
final,0.432908,0.084889
final,0.025984,0.988764
final,0.021034,1.001828
final,0.421178,0.210539
final,0.412239,0.331666
final,0.204710,0.650498
final,0.427924,0.131685
final,0.067082,0.825577
final,0.651588,-0.355345
final,0.651588,-0.355345
final,0.834455,-0.560469
final,0.830211,-0.486962
final,0.620818,-0.062078
final,0.851355,-0.676171
final,0.824387,-0.380261
final,0.448085,-0.004662
final,0.409964,0.353384
final,0.231366,0.464078
final,0.219593,0.541826
final,0.631494,-0.218497
final,0.651588,-0.355345
final,0.243738,0.406545
final,0.437345,0.049458
final,0.000000,1.164589
final,0.845995,-0.650104
final,0.241017,0.413354
final,0.214548,0.566413
final,0.424787,0.172177
final,0.036259,0.927776
final,0.249031,0.380206
final,0.832087,-0.519618
final,0.638752,-0.291079
final,0.646504,-0.350088
final,0.231366,0.464078
final,0.020284,1.004408
final,0.043516,0.894411
final,0.829944,-0.476389
final,0.184759,0.787719
final,0.199805,0.676607
final,0.412239,0.331666
final,0.184537,0.793119
final,0.838702,-0.603100
final,0.028873,0.963173
final,0.006104,1.097718
final,0.827713,-0.446647
final,0.625004,-0.130321
final,0.836501,-0.575470
final,0.003515,1.102777
final,0.851355,-0.676171
final,0.851355,-0.676171
final,0.620818,-0.062078
final,0.824387,-0.380261
final,0.448085,-0.004662
final,0.651588,-0.355345
final,0.409964,0.353384
final,0.067082,0.825577
final,0.199805,0.676607
final,0.204710,0.650498
final,0.427924,0.131685
final,0.631494,-0.218497
final,0.219593,0.541826
final,0.432908,0.084889
